Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,361.06256103515625,377.6499938964844,379.25,366.0,368.0,11377167
2020-01-02,366.3210144042969,383.1499938964844,384.70001220703125,376.5,377.95001220703125,5919760
2020-01-03,365.69952392578125,382.5,384.3500061035156,379.20001220703125,382.70001220703125,3684824
2020-01-06,363.5005798339844,380.20001220703125,388.0,374.75,388.0,12482680
2020-01-07,367.8985290527344,384.79998779296875,389.75,382.3999938964844,384.04998779296875,8091465
2020-01-08,368.7112121582031,385.6499938964844,387.6000061035156,378.25,379.0,4620991
2020-01-09,374.5910949707031,391.79998779296875,394.0,386.04998779296875,389.1499938964844,4186783
2020-01-10,374.8301086425781,392.04998779296875,394.29998779296875,390.0,391.79998779296875,2405154
2020-01-13,373.2048034667969,390.3500061035156,393.8999938964844,389.29998779296875,391.8999938964844,1516112
2020-01-14,372.10528564453125,389.20001220703125,392.6000061035156,386.0,391.0,1963128
2020-01-15,373.63494873046875,390.79998779296875,391.3999938964844,386.0,389.29998779296875,1536571
2020-01-16,373.7784118652344,390.95001220703125,394.6000061035156,389.79998779296875,392.0,1340762
2020-01-17,370.5755615234375,387.6000061035156,392.3999938964844,386.0,390.8999938964844,1644832
2020-01-20,363.35711669921875,380.04998779296875,389.20001220703125,378.79998779296875,387.6499938964844,1760945
2020-01-21,363.2615661621094,379.95001220703125,382.0,375.29998779296875,378.79998779296875,2005178
2020-01-22,366.7512512207031,383.6000061035156,385.0,379.0,379.95001220703125,1817459
2020-01-23,368.9024353027344,385.8500061035156,386.75,380.75,384.45001220703125,1202104
2020-01-24,367.8507385253906,384.75,387.3999938964844,380.29998779296875,383.0,1572385
2020-01-27,364.5044860839844,381.25,386.25,379.79998779296875,383.70001220703125,1076027
2020-01-28,356.56903076171875,372.95001220703125,381.5,370.20001220703125,380.70001220703125,2220618
2020-01-29,366.5122375488281,383.3500061035156,387.75,373.75,377.5,3588224
2020-01-30,361.3971862792969,378.0,383.70001220703125,376.8500061035156,381.0,1526892
2020-01-31,353.1749267578125,369.3999938964844,381.54998779296875,368.25,380.04998779296875,2912256
2020-02-03,351.2149658203125,367.3500061035156,370.0,355.5,364.0,2857926
2020-02-04,356.1387939453125,372.5,376.0,366.3500061035156,370.1000061035156,3061868
2020-02-05,350.4979248046875,366.6000061035156,372.5,361.1000061035156,372.0,3441871
2020-02-06,353.9398193359375,370.20001220703125,373.20001220703125,367.6499938964844,370.0,4172547
2020-02-07,353.318359375,369.54998779296875,373.70001220703125,367.20001220703125,370.20001220703125,2197903
2020-02-10,352.075439453125,368.25,373.45001220703125,366.1499938964844,370.04998779296875,1537598
