Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,168.796630859375,229.27012634277344,229.75157165527344,228.3072052001953,229.75157165527344,4370931
2020-01-02,170.03724670410156,230.95521545410156,232.01443481445312,229.27012634277344,229.3664093017578,8726602
2020-01-03,169.08021545410156,229.65528869628906,232.0625762939453,229.173828125,232.0625762939453,9642051
2020-01-06,166.66983032226562,226.38137817382812,229.46270751953125,226.2850799560547,228.69236755371094,7930726
2020-01-07,166.84706115722656,226.62210083007812,229.07752990722656,225.89991760253906,227.296142578125,8740894
2020-01-08,166.0317840576172,225.51475524902344,227.055419921875,224.5999755859375,225.32217407226562,7314466
2020-01-09,167.16610717773438,227.055419921875,227.82574462890625,226.33322143554688,226.86282348632812,9816703
2020-01-10,168.72573852539062,229.173828125,229.89601135253906,228.01832580566406,228.78866577148438,10357864
2020-01-13,169.61192321777344,230.37747192382812,231.58111572265625,229.41455078125,229.65528869628906,12715178
2020-01-14,172.44760131835938,234.2291259765625,234.7587432861328,229.46270751953125,231.34039306640625,12299570
2020-01-15,171.84506225585938,233.41065979003906,233.9884033203125,232.1588592529297,233.5550994873047,5687654
2020-01-16,170.67530822753906,231.82183837890625,234.8550262451172,231.19595336914062,233.50694274902344,9730522
2020-01-17,170.10813903808594,231.051513671875,233.1217803955078,230.52191162109375,231.82183837890625,7677106
2020-01-20,171.4905548095703,232.92919921875,234.2291259765625,231.14779663085938,231.14779663085938,8329721
2020-01-21,169.0447540283203,229.60714721679688,232.49588012695312,229.173828125,232.49588012695312,9939680
2020-01-22,168.76116943359375,229.2219696044922,230.71449279785156,228.3072052001953,230.71449279785156,7949731
2020-01-23,168.6548309326172,229.07752990722656,229.89601135253906,228.1146240234375,229.27012634277344,6356150
2020-01-24,168.83206176757812,229.31826782226562,230.2330322265625,228.21090698242188,228.59608459472656,7063834
2020-01-27,166.3153839111328,225.89991760253906,228.59608459472656,225.6110382080078,228.21090698242188,7100949
2020-01-28,163.58596801757812,222.19268798828125,227.15170288085938,221.95196533203125,226.0443572998047,15144538
2020-01-29,167.76866149902344,227.87388610839844,228.83680725097656,222.57786560058594,222.91488647460938,21258057
2020-01-30,165.92544555664062,225.3703155517578,228.21090698242188,224.3592529296875,228.1627655029297,10794458
2020-01-31,166.70529174804688,226.4295196533203,229.55899047851562,225.3703155517578,227.00726318359375,19166671
2020-02-03,147.1741943359375,199.9011993408203,208.8563232421875,197.3976287841797,207.0267791748047,82836335
2020-02-04,152.88113403320312,207.65267944335938,209.5303497314453,201.3937225341797,202.98252868652344,37145337
2020-02-05,153.4482879638672,208.42300415039062,209.43406677246094,203.6565704345703,208.278564453125,22072147
2020-02-06,151.392333984375,205.63055419921875,211.74505615234375,203.94544982910156,209.91552734375,28443398
2020-02-07,151.2860107421875,205.48611450195312,207.70082092285156,204.86021423339844,205.87127685546875,17793265
